"class","date","topic","due","readings"
1,"Tue, 05 Sep 2017","introduction",,"MS 1-7"
2,"Thu, 07 Sep 2017","univariate linear discrete deterministic",,"MS 9-28"
3,"Mon, 11 Sep 2017","univariate linear discrete deterministic",,
4,"Tue, 12 Sep 2017","univariate nonlinear discrete deterministic",,"MS 31-35" 
5,"Thu, 14 Sep 2017","univariate nonlinear discrete deterministic"
6,"Mon, 18 Sep 2017","univariate nonlinear discrete deterministic"
7,"Tue, 19 Sep 2017","multivariate linear discrete deterministic",,"MS 28-30, 101-121"
8,"Thu, 21 Sep 2017","multivariate linear discrete deterministic","HW 1 (*UDD)"
9,"Mon, 25 Sep 2017","multivariate nonlinear discrete deterministic",,"MS 35-37"
10,"Tue, 26 Sep 2017","multivariate nonlinear discrete deterministic"
11,"Thu, 28 Sep 2017","multivariate nonlinear discrete deterministic"
12,"Mon, 02 Oct 2017","univariate linear continuous deterministic",,"MS 239-244,251-253"
13,"Tue, 03 Oct 2017","univariate nonlinear continuous deterministic","HW 2 (*MDD)","MS 244-245, 266-283"
14,"Thu, 05 Oct 2017","review"
,"thanksgiving/fall break",,,,
15,"Mon, 16 Oct 2017","in-class midterm"
16,"Tue, 17 Oct 2017","univariate nonlinear continuous deterministic",,
17,"Thu, 19 Oct 2017","multivariate linear continuous deterministic",,"MS 258-266"
18,"Mon, 23 Oct 2017","multivariate nonlinear continuous deterministic",,"MS 283-305"
19,"Tue, 24 Oct 2017","univariate linear discrete stochastic","HW 3 (LUCD)","MS 47-81"
20,"Thu, 26 Oct 2017","univariate nonlinear discrete stochastic"
21,"Mon, 30 Oct 2017","multivariate linear discrete stochastic","initial proposals","MS 122-132"
22,"Tue, 31 Oct 2017","multivariate nonlinear discrete stochastic",
23,"Thu, 02 Nov 2017","projects"
24,"Mon, 06 Nov 2017","projects",
25,"Tue, 07 Nov 2017","projects","HW 4 (NUCD)"
26,"Thu, 09 Nov 2017","projects","proposals"
27,"Mon, 13 Nov 2017","projects"
28,"Tue, 14 Nov 2017","projects","HW 5 (stochastic)"
29,"Thu, 16 Nov 2017","projects"
30,"Mon, 20 Nov 2017","projects"
31,"Tue, 21 Nov 2017","projects"
32,"Thu, 23 Nov 2017","presentations"
33,"Mon, 27 Nov 2017","presentations"
34,"Tue, 28 Nov 2017","presentations"
35,"Thu, 30 Nov 2017","presentations"
36,"Mon, 04 Dec 2017","presentations"
37,"Tue, 05 Dec 2017","presentations","project writeups"
